
=================== Run: 2025-10-31 06:22:00.639239 ===================

🚀 Expert Supreme — 3-Fold Stratified CV
Supreme[fold 1] ✅ Using 2 GPUs
High[F1] Ep09 | loss=0.2667 | acc=0.6314 | f1=0.6245 | prec=0.6263 | rec=0.6240 | mcc=0.2503 | thr=0.46
High[F1] Ep10 | loss=0.2657 | acc=0.6290 | f1=0.6276 | prec=0.6281 | rec=0.6294 | mcc=0.2574 | thr=0.45
High[F1] Ep11 | loss=0.2622 | acc=0.6353 | f1=0.6306 | prec=0.6310 | rec=0.6304 | mcc=0.2614 | thr=0.46
High[F1] Ep12 | loss=0.2606 | acc=0.6387 | f1=0.6343 | prec=0.6345 | rec=0.6342 | mcc=0.2687 | thr=0.46
High[F1] Ep13 | loss=0.2586 | acc=0.6395 | f1=0.6366 | prec=0.6364 | rec=0.6371 | mcc=0.2735 | thr=0.46
High[F1] Ep14 | loss=0.2562 | acc=0.6455 | f1=0.6395 | prec=0.6408 | rec=0.6390 | mcc=0.2798 | thr=0.47
High[F1] Ep15 | loss=0.2542 | acc=0.6458 | f1=0.6414 | prec=0.6417 | rec=0.6411 | mcc=0.2828 | thr=0.47
High[F1] Ep16 | loss=0.2532 | acc=0.6435 | f1=0.6414 | prec=0.6413 | rec=0.6425 | mcc=0.2837 | thr=0.46
High[F1] Ep17 | loss=0.2513 | acc=0.6484 | f1=0.6432 | prec=0.6440 | rec=0.6428 | mcc=0.2867 | thr=0.47
High[F1] Ep18 | loss=0.2490 | acc=0.6457 | f1=0.6439 | prec=0.6439 | rec=0.6452 | mcc=0.2891 | thr=0.46
High[F1] Ep19 | loss=0.2472 | acc=0.6498 | f1=0.6458 | prec=0.6459 | rec=0.6458 | mcc=0.2917 | thr=0.47
High[F1] Ep20 | loss=0.2444 | acc=0.6499 | f1=0.6461 | prec=0.6461 | rec=0.6460 | mcc=0.2922 | thr=0.47
High[F1] Ep21 | loss=0.2437 | acc=0.6479 | f1=0.6466 | prec=0.6470 | rec=0.6486 | mcc=0.2956 | thr=0.46
High[F1] Ep22 | loss=0.2409 | acc=0.6490 | f1=0.6456 | prec=0.6454 | rec=0.6458 | mcc=0.2912 | thr=0.47
